"AÑO","EMISOR","RENDIMIENTO"
"2020","BOLSA DE VALORES DE QUITO","8.74%"
"2020","BOLSA DE VALORES DE GUAYAQUIL","8.01%"
"2021","BOLSA DE VALORES DE QUITO","17.96%"
"2021","BOLSA DE VALORES DE GUAYAQUIL","9.66%"
"2022","BOLSA DE VALORES DE QUITO","16.94%"
"2022","BOLSA DE VALORES DE GUAYAQUIL","6.73%"
"2023","BOLSA DE VALORES DE QUITO","10.15%"
"2023","BOLSA DE VALORES DE GUAYAQUIL","8.19%"
"2024","BOLSA DE VALORES DE QUITO","7.12%"
"2024","BOLSA DE VALORES DE GUAYAQUIL","12.02%"
"2025","BOLSA DE VALORES DE QUITO","11.27%"
"2025","BOLSA DE VALORES DE GUAYAQUIL","11.22%"