"AÃ‘O","EMISOR","RENDIMIENTO"
"2022","BANCO GUAYAQUIL S.A.","8.46%"
"2022","BANCO BOLIVARIANO C.A.","4.40%"
"2022","BANCO DE LA PRODUCCION S.A . PRODUBANCO","6.07%"
"2022","BANCO PICHINCHA C.A.","2.56%"
"2023","BANCO GUAYAQUIL S.A.","9.27%"
"2023","BANCO BOLIVARIANO C.A.","4.92%"
"2023","BANCO DE LA PRODUCCION S.A . PRODUBANCO","3.78%"
"2023","BANCO PICHINCHA C.A.","5.61%"
"2024","BANCO GUAYAQUIL S.A.","7.60%"
"2024","BANCO BOLIVARIANO C.A.","4.74%"
"2024","BANCO DE LA PRODUCCION S.A . PRODUBANCO","2.59%"
"2024","BANCO PICHINCHA C.A.","3.71%"
"","",""
"","",""
"","",""
